year,southEast,policy,antiInstPer,posAffPer,affect,approval_pres,approval_rep,democrat,Inc_dem,seniority,nominate_dim1,nominate_dim2,op_ideo,pid7,ideo5,white,hispanic,black,educ,faminc,unionmember,ageless18,age65plus,armedforces,foreignborn,poverty,unemp_clf,college,nilf,medinc,gini,economic,demHvote,dem_normal,uncontested,PRIMARYD,PRIMARYR,GENERALD,wongeneralD,numcandsD,numcandsR,primaryvote,primarychall
2017,0,0.5503640777,0.09890776699,0.01638349515,0.58737862,2.022428287,3.585986632,1,1,3,-0.43,-0.542,-0.33702716,2.846977058,2.516141125,0.59559309,0.06590202596,0.025678337,0.5369924072,8.031541976,0.61991155,0.19859096,0.20514321,0.0027454239,0.13017777,0.10893323,0.053490054,0.25525546,0.38424924,0.36816999,0.52950001,1.0154047,0.76850098,0.74039471,0,0.6830045852,0.1565317069,0.7685009947,1,2,1,0.68300456,2
2017,0,0.7138554217,0.06325301205,0.02259036145,0.24096386,2.555536883,3.210673055,1,1,5,-0.309,-0.098,-0.054611053,3.365597357,3.170831514,0.61482054,0.02838958242,0.080719039,0.2474039143,5.16483942,0.53086466,0.23461597,0.1423872,0.016881643,0.18948227,0.13116305,0.061464842,0.16074479,0.4023301,0.30871999,0.4558,-0.72777617,0.59351432,0.56248224,0,0.6310748083,0.2426268817,0.5935143171,1,1,2,0.63107479,1
2017,0,0.5535714286,0.08928571429,0.03571428571,0.14285715,2.532056229,2.648679351,0,0,5,0.694,-0.424,0.0065108342,3.699255924,3.081188477,0.62802351,0.02428048631,0.022182414,0.3555434288,7.179669941,0.52050018,0.20795019,0.20971595,0.0037318934,0.094661772,0.085638918,0.050730314,0.22543064,0.42984873,0.37465,0.45820001,1.1618623,0.37280115,0.42552036,0,0.2745128252,0.6146379045,0.3728011442,0,2,1,0.61463791,1
2017,0,0.6453469779,0.01023345059,0.005116725296,0.03485769,2.126145222,3.533627869,1,1,10,-0.395,0.064,-0.1583297,3.015794065,2.333753506,0.78620929,0,0.079291187,0.3729463711,6.136215014,0.53389084,0.20443662,0.17462765,0.0011884357,0.20573075,0.091848776,0.051404618,0.21082366,0.35210478,0.36728001,0.4481,0.88924927,0.7686851,0.73274302,0,0.6570023353,0.1920390509,0.7686851016,1,3,1,0.65700233,3
2017,0,0.8461538462,0.1367521368,0.03418803419,0.38461539,1.731505592,3.68014123,1,1,7,-0.434,-0.157,-0.35943887,2.281219246,2.722923469,0.48314652,0.01151951173,0.15587561,0.2339120029,4.401069937,0.39567059,0.24610065,0.12263696,0.0014002053,0.23313588,0.16968025,0.071414456,0.19003665,0.36778644,0.30511001,0.46489999,-1.2489786,0.75427014,0.72326249,0,0.7038102237,0.1837274051,0.754270155,1,2,1,0.70381021,2
2017,0,0.671686747,0.0421686747,0.01807228916,0.1746988,2.943829599,2.78676396,1,1,3,-0.235,0.014,0.046781395,3.288582375,3.197607211,0.69951689,0.06256998606,0.09783604,0.3353304297,6.131633089,0.67596376,0.23126698,0.15145062,0.0013979932,0.19221187,0.10603274,0.060443655,0.22374193,0.37284386,0.37156999,0.43920001,0.59872991,0.51171374,0.55063564,0,0.5400413524,0.4599586476,0.5117137177,1,1,1,0.54004133,1
2017,0,0.5714285714,0.04761904762,0,0.095238097,2.676040363,3.054799803,0,0,3,0.372,0.208,0.10553371,4.015579159,3.223020315,0.50293362,0.1733238459,0.098509192,0.2095640828,3.950048155,0.34133339,0.27753156,0.13219354,0.034637492,0.13872436,0.1703648,0.09220238,0.10597344,0.43266889,0.26243001,0.4465,-2.9017208,0.3774198,0.43174303,0,0.2192343246,0.4199388726,0.3774198094,0,3,2,0.41993886,2
2017,0,0.6439393939,0.1136363636,0.007575757576,0.20454545,2.44172373,2.922634278,1,1,6,-0.263,-0.159,0.037190828,3.480049605,3.186575604,0.5603286,0.09874715897,0.11345486,0.1850104295,4.552389515,0.39693955,0.2696465,0.12971123,0.0011132391,0.22267899,0.12982449,0.075955868,0.14193621,0.39034721,0.30575001,0.45410001,-1.3209697,0.57359523,0.59357721,0,0.5527016288,0.2172799309,0.5735952273,1,1,2,0.55270165,1
2017,0,0.4754098361,0.01092896175,0.01092896175,0.065573767,2.730568208,2.894721493,0,1,4,0.306,0.212,-0.16749628,3.713764753,3.357675043,0.5532518,0.3342292997,0.044152513,0.165478972,6.458281452,0.60916609,0.26970738,0.12502961,0.00081016775,0.20375401,0.12656096,0.083039828,0.12445915,0.38488239,0.30469999,0.4332,-1.6485591,0.48299542,0.51641381,0,0.2757828501,0.4773029928,0.4829954259,0,2,2,0.477303,2
2017,0,0.6795252226,0.07418397626,0.0178041543,0.36795253,2.565729016,3.420748272,1,1,2,-0.53,-0.373,-0.065062992,3.70215765,3.038912287,0.74185127,0,0.098818772,0.4984294868,7.48143146,0.4206346,0.22040285,0.16420303,0.0009215654,0.26543286,0.089332126,0.05394733,0.27202597,0.35645747,0.42049,0.4903,1.7583174,0.72052824,0.73686135,0,0.7533268163,0.2466731837,0.7205282201,1,1,1,0.75332683,1
2017,0,0.7740963855,0.1506024096,0.05602409639,0.55301207,2.094509285,3.483416207,1,1,16,-0.49,-0.205,-0.32491729,2.576425168,2.761742139,0.62337345,0.03067713292,0.065589078,0.4328155515,7.958572087,0.33644858,0.13189016,0.15116957,0.00050662452,0.32968017,0.10132607,0.040822644,0.35584769,0.28271478,0.55432999,0.51209998,3.6964557,1,0.88583213,1,0.7811253122,0.07640456686,0.8087326064,1,1,1,0.78112531,1
2017,0,0.7695716396,0.11816839,0.02363367799,0.41802067,2.097445465,3.514311343,1,1,11,-0.681,-0.585,-0.12279321,3.720070971,3.108642219,0.63213527,0.2627402173,0.19574012,0.4038834329,6.360409337,0.51238012,0.18673553,0.139033,0.0024056267,0.26890215,0.13804726,0.05431959,0.27613172,0.32737932,0.39596999,0.50150001,1.0287532,0.90784556,0.91420615,0,0.9195484226,0.08045157741,0.9078455482,1,1,1,0.91954845,1
2017,0,0.6538461538,0.1288461538,0.06923076923,0.40192309,2.48700408,3.451765848,1,1,6,-0.381,-0.411,-0.23760116,3.907902202,2.972101963,0.43593997,0,0.039238978,0.3262557764,7.910472774,0.41281334,0.19514632,0.16020116,0.00055829663,0.37686703,0.068030775,0.040559631,0.29127166,0.31058976,0.46566999,0.46810001,2.8971872,0.80863124,0.78618532,0,0.9904187683,,0.8086312651,1,1,,0.99041879,1
